#sno	title	section	path	extension
6	Aspire to Thrive	growth	aspire-to-thrive/with-ai/01--using-wiseowls--and-aspiring-to-thrive	.md
5	The "Goodness" project	growth	goodness/with-ai/01--the-goodness-project--learning-and-hope	.md
4	Sophia:: Youth Empowerment	growth	sophia/with-ai/01--sophia-youth-empowerment	.md
3	Aessop7 and Contemporary, Integrative spirituality	growth	aessop/with-ai/03--aessop7-applied-spirituality--introduction	.md
2	Aessop and the Dark Forces	growth	aessop/with-ai/01--aessop-and-the-12-vices	.md
1	Aessop Intro	growth	aessop/with-ai/02--aessop--holistic-youth-development	.md
